width_of_automata,queue_depth,period,repeat?
10,2,37,True
10,3,51,True
10,4,14,True
10,5,16,True
10,6,35,True
10,7,30,False
10,8,65,False
10,9,24,True
10,10,9,True
10,11,14,True
10,12,29,False
10,13,30,False
10,14,17,False
10,15,17,False
10,16,17,False
10,17,17,False
10,18,17,False
10,19,17,False
10,20,17,False
10,21,17,False
10,22,17,False
10,23,17,False
10,24,17,False
10,25,17,False
10,26,17,False
10,27,17,False
10,28,17,False
10,29,17,False
10,30,17,False
11,2,53,True
11,3,5,True
11,4,24,True
11,5,57,True
11,6,59,False
11,7,9,True
11,8,36,False
11,9,27,True
11,10,28,True
11,11,14,False
11,12,14,False
11,13,14,False
11,14,14,False
11,15,14,False
11,16,14,False
11,17,14,False
11,18,14,False
11,19,14,False
11,20,14,False
11,21,14,False
11,22,14,False
11,23,14,False
11,24,14,False
11,25,14,False
11,26,14,False
11,27,14,False
11,28,14,False
11,29,14,False
11,30,14,False
12,2,16,True
12,3,35,True
12,4,24,True
12,5,26,True
12,6,39,True
12,7,58,True
12,8,19,True
12,9,14,True
12,10,46,True
12,11,38,False
12,12,8,True
12,13,32,True
12,14,172,False
12,15,49,True
12,16,23,True
12,17,46,False
12,18,21,False
12,19,21,False
12,20,21,False
12,21,21,False
12,22,21,False
12,23,21,False
12,24,21,False
12,25,21,False
12,26,21,False
12,27,21,False
12,28,21,False
12,29,21,False
12,30,21,False
13,2,16,True
13,3,5,True
13,4,24,False
13,5,12,True
13,6,44,False
13,7,34,True
13,8,15,True
13,9,65,True
13,10,43,False
13,11,11,True
13,12,44,True
13,13,121,True
13,14,43,False
13,15,31,True
13,16,12,True
13,17,24,True
13,18,185,False
13,19,76,True
13,20,425,False
13,21,28,True
13,22,16,True
13,23,523,False
13,24,103,False
13,25,577,False
13,26,189,False
13,27,30,False
13,28,30,False
13,29,30,False
13,30,30,False
14,2,42,True
14,3,23,True
14,4,13,True
14,5,20,True
14,6,26,True
14,7,9,True
14,8,32,True
14,9,176,True
14,10,178,False
14,11,221,False
14,12,20,True
14,13,236,True
14,14,395,True
14,15,61,False
14,16,41,False
14,17,13,True
14,18,43,False
14,19,46,False
14,20,76,False
14,21,46,False
14,22,47,False
14,23,48,False
14,24,84,False
14,25,50,False
14,26,51,False
14,27,30,False
14,28,30,False
14,29,30,False
14,30,30,False
15,2,89,True
15,3,132,True
15,4,44,True
15,5,160,True
15,6,134,True
15,7,60,True
15,8,58,True
15,9,117,False
15,10,52,True
15,11,200,True
15,12,160,True
15,13,144,False
15,14,369,False
15,15,22,True
15,16,419,False
15,17,12,True
15,18,13,True
15,19,271,True
15,20,296,False
15,21,534,True
15,22,25,False
15,23,25,False
15,24,25,False
15,25,25,False
15,26,25,False
15,27,25,False
15,28,25,False
15,29,25,False
15,30,25,False
16,2,111,True
16,3,18,True
16,4,42,True
16,5,123,True
16,6,74,True
16,7,35,True
16,8,288,True
16,9,352,False
16,10,42,True
16,11,388,False
16,12,46,True
16,13,50,False
16,14,86,True
16,15,34,False
16,16,35,False
16,17,24,True
16,18,900,True
16,19,64,False
16,20,39,False
16,21,551,False
16,22,1682,False
16,23,1157,False
16,24,1320,False
16,25,2305,False
16,26,534,False
16,27,18,True
16,28,31,False
16,29,31,False
16,30,31,False
17,2,112,True
17,3,16,True
17,4,176,True
17,5,36,True
17,6,47,True
17,7,270,True
17,8,164,True
17,9,92,True
17,10,42,True
17,11,179,True
17,12,433,True
17,13,448,True
17,14,243,False
17,15,120,True
17,16,60,True
17,17,36,False
17,18,411,True
17,19,411,False
17,20,317,False
17,21,97,False
17,22,689,False
17,23,923,False
17,24,35,True
17,25,3785,False
17,26,33,True
17,27,728,False
17,28,35,True
17,29,32,False
17,30,32,False
18,2,215,True
18,3,150,True
18,4,97,True
18,5,90,True
18,6,158,True
18,7,82,True
18,8,191,True
18,9,317,False
18,10,70,True
18,11,71,False
18,12,201,True
18,13,136,False
18,14,597,True
18,15,24,True
18,16,430,True
18,17,860,True
18,18,1048,False
18,19,374,False
18,20,905,False
18,21,609,True
18,22,1591,False
18,23,1730,True
18,24,1802,False
18,25,2001,False
18,26,62,False
18,27,63,False
18,28,64,False
18,29,65,False
18,30,66,False
19,2,35,True
19,3,193,True
19,4,11,True
19,5,75,True
19,6,91,True
19,7,99,True
19,8,43,True
19,9,33,True
19,10,33,True
19,11,144,True
19,12,134,True
19,13,70,True
19,14,252,True
19,15,250,True
19,16,155,True
19,17,677,True
19,18,1943,True
19,19,1299,True
19,20,130,True
19,21,2689,True
19,22,910,False
19,23,1602,True
19,24,922,True
19,25,408,False
19,26,147,False
19,27,1334,False
19,28,1953,False
19,29,591,False
19,30,519,False
20,2,164,True
20,3,346,True
20,4,113,True
20,5,53,True
20,6,618,True
20,7,118,True
20,8,22,True
20,9,279,True
20,10,213,True
20,11,202,True
20,12,327,True
20,13,792,True
20,14,490,True
20,15,1436,True
20,16,1349,True
20,17,556,True
20,18,1061,False
20,19,718,False
20,20,609,False
20,21,40,True
20,22,3229,False
20,23,1257,False
20,24,1546,True
20,25,892,False
20,26,1446,False
20,27,69,False
20,28,2458,False
20,29,127,True
20,30,1697,True
21,2,615,True
21,3,333,True
21,4,61,True
21,5,422,True
21,6,534,True
21,7,113,True
21,8,429,True
21,9,82,True
21,10,79,True
21,11,551,True
21,12,862,True
21,13,2059,False
21,14,91,True
21,15,526,True
21,16,1327,True
21,17,837,True
21,18,1429,True
21,19,190,False
21,20,389,False
21,21,1865,False
21,22,344,False
21,23,27,True
21,24,3090,True
21,25,6036,True
21,26,44,True
21,27,1248,False
21,28,4650,False
21,29,396,False
21,30,1947,False
22,2,113,True
22,3,58,True
22,4,350,True
22,5,120,True
22,6,195,False
22,7,133,False
22,8,167,False
22,9,47,True
22,10,121,False
22,11,328,False
22,12,219,True
22,13,977,False
22,14,567,False
22,15,35,True
22,16,390,False
22,17,694,True
22,18,584,True
22,19,373,True
22,20,355,False
22,21,756,False
22,22,431,False
22,23,264,False
22,24,204,True
22,25,4393,False
22,26,527,True
22,27,1134,False
22,28,3381,False
22,29,3302,False
22,30,106,False
23,2,900,True
23,3,1017,True
23,4,95,True
23,5,528,True
23,6,410,True
23,7,251,True
23,8,28,True
23,9,111,True
23,10,56,True
23,11,1122,True
23,12,1528,False
23,13,1539,True
23,14,1109,True
23,15,2589,True
23,16,337,True
23,17,1565,True
23,18,2533,False
23,19,714,True
23,20,886,False
23,21,4528,True
23,22,7482,True
23,23,4657,True
23,24,2726,False
23,25,9249,False
23,26,1518,False
23,27,6841,True
23,28,5594,False
23,29,3576,False
24,2,522,True
24,3,464,True
24,4,60,True
24,5,162,True
24,6,898,True
24,7,633,True
24,8,339,True
24,9,97,True
24,10,753,True
24,11,345,True
24,12,1136,True
24,13,638,False
24,14,1017,True
24,15,103,True
24,16,1507,False
24,17,780,True
24,18,5401,True
24,19,1011,True
24,20,7733,False
24,21,103,False
24,22,1369,True
24,23,6489,False
24,24,11504,True
24,25,2187,False
24,26,1425,False
24,27,3434,False
24,28,2237,False
24,29,4180,False
25,2,2092,True
25,3,84,True
25,4,556,True
25,5,224,True
25,6,377,True
25,7,231,True
25,8,425,True
25,9,634,True
25,10,1203,True
25,11,579,True
25,12,702,True
25,13,2410,True
25,14,213,True
25,15,1618,True
25,16,2784,True
25,17,1302,True
25,18,430,True
25,19,2871,False
25,20,1630,True
25,21,45,True
25,22,242,True
26,2,941,True
26,3,828,True
26,4,416,True
26,5,64,True
26,6,945,True
26,7,90,True
26,8,517,True
26,9,80,True
26,10,948,True
26,11,110,True
26,12,23,True
26,13,2191,True
26,14,807,True
26,15,11,True
26,16,864,False
26,17,42,True
26,18,7154,True
26,19,30,True
26,20,1208,True
26,21,1534,True
26,22,33,True
27,2,5384,True
27,3,2050,True
27,4,51,True
27,5,53,True
27,6,2146,True
27,7,57,True
27,8,59,True
27,9,61,True
27,10,611,True
27,11,1302,True
27,12,67,True
27,13,5289,True
27,14,999,True
27,15,4826,True
27,16,1523,True
27,17,6645,True
27,18,699,True
27,19,4827,False
27,20,5729,True
27,21,813,True
27,22,2300,False
27,23,2132,True
27,24,5734,False
